name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
rose,0.219,0.927,2,-3.346,0,0.0642,0.000171,0,0.266,0.284,171.783,audio_features,1aXkCl0ABWivQBPjvLXbLA,spotify:track:1aXkCl0ABWivQBPjvLXbLA,https://api.spotify.com/v1/tracks/1aXkCl0ABWivQBPjvLXbLA,https://api.spotify.com/v1/audio-analysis/1aXkCl0ABWivQBPjvLXbLA,226000,4
rose,0.242,0.913,9,-4.02,0,0.0666,0.000103,0,0.319,0.359,171.725,audio_features,4fnl5fZoftWTAT3VMuwukd,spotify:track:4fnl5fZoftWTAT3VMuwukd,https://api.spotify.com/v1/tracks/4fnl5fZoftWTAT3VMuwukd,https://api.spotify.com/v1/audio-analysis/4fnl5fZoftWTAT3VMuwukd,225967,4
zero,0.334,0.988,11,-2.627,1,0.0892,0.000137,0.119,0.212,0.186,94.977,audio_features,04TtRDUeRmIdHjUk7Y67vF,spotify:track:04TtRDUeRmIdHjUk7Y67vF,https://api.spotify.com/v1/tracks/04TtRDUeRmIdHjUk7Y67vF,https://api.spotify.com/v1/audio-analysis/04TtRDUeRmIdHjUk7Y67vF,225467,4
I'm addicted to you,0.254,0.913,9,-3.347,0,0.107,0.000237,0.00467,0.0818,0.552,110.894,audio_features,6aCzQ7hoveq6FVHsNWjQko,spotify:track:6aCzQ7hoveq6FVHsNWjQko,https://api.spotify.com/v1/tracks/6aCzQ7hoveq6FVHsNWjQko,https://api.spotify.com/v1/audio-analysis/6aCzQ7hoveq6FVHsNWjQko,218467,3
scream,0.296,0.916,0,-3.75,0,0.0691,1.4e-05,0.88,0.3,0.542,173.092,audio_features,03UdatClueDxGsk81GSviw,spotify:track:03UdatClueDxGsk81GSviw,https://api.spotify.com/v1/tracks/03UdatClueDxGsk81GSviw,https://api.spotify.com/v1/audio-analysis/03UdatClueDxGsk81GSviw,333133,4
Take me out,0.38,0.866,4,-5.411,1,0.0437,3.73e-05,3.87e-06,0.0844,0.379,169.633,audio_features,4bP35exnbtktDv42uDDLKl,spotify:track:4bP35exnbtktDv42uDDLKl,https://api.spotify.com/v1/tracks/4bP35exnbtktDv42uDDLKl,https://api.spotify.com/v1/audio-analysis/4bP35exnbtktDv42uDDLKl,228633,4
Without You,0.38,0.978,5,-3.303,1,0.0897,1.46e-05,0.276,0.158,0.39,100.18,audio_features,4KieHJcny5A02Blu8qgBU1,spotify:track:4KieHJcny5A02Blu8qgBU1,https://api.spotify.com/v1/tracks/4KieHJcny5A02Blu8qgBU1,https://api.spotify.com/v1/audio-analysis/4KieHJcny5A02Blu8qgBU1,219900,4
zero,0.152,0.984,8,-3.217,0,0.113,4.06e-05,0.437,0.152,0.23,94.383,audio_features,4aCn6nKIoZdXNBCGqMg4HK,spotify:track:4aCn6nKIoZdXNBCGqMg4HK,https://api.spotify.com/v1/tracks/4aCn6nKIoZdXNBCGqMg4HK,https://api.spotify.com/v1/audio-analysis/4aCn6nKIoZdXNBCGqMg4HK,227400,4
Switch On!,0.41,0.964,4,-3.828,1,0.162,0.00621,0,0.314,0.448,94.738,audio_features,53Rfzyv7a6D355Rs4l1Ubv,spotify:track:53Rfzyv7a6D355Rs4l1Ubv,https://api.spotify.com/v1/tracks/53Rfzyv7a6D355Rs4l1Ubv,https://api.spotify.com/v1/audio-analysis/53Rfzyv7a6D355Rs4l1Ubv,201467,3
stand by me,0.467,0.537,0,-7.429,1,0.0267,0.611,0,0.184,0.378,76.032,audio_features,6E3KD3oN0BDOkqA2BFbNsf,spotify:track:6E3KD3oN0BDOkqA2BFbNsf,https://api.spotify.com/v1/tracks/6E3KD3oN0BDOkqA2BFbNsf,https://api.spotify.com/v1/audio-analysis/6E3KD3oN0BDOkqA2BFbNsf,284800,4
CARRY ON,0.459,0.871,3,-7.976,0,0.0662,0.0185,0.000282,0.102,0.391,118.596,audio_features,38gVWsCzIYrv54z5qspFD5,spotify:track:38gVWsCzIYrv54z5qspFD5,https://api.spotify.com/v1/tracks/38gVWsCzIYrv54z5qspFD5,https://api.spotify.com/v1/audio-analysis/38gVWsCzIYrv54z5qspFD5,278699,4
Lovin' you,0.492,0.923,8,-4.52,0,0.0876,0.00337,1.97e-06,0.13,0.633,96.014,audio_features,0qVqIByd5RczJ6lZgMg4YC,spotify:track:0qVqIByd5RczJ6lZgMg4YC,https://api.spotify.com/v1/tracks/0qVqIByd5RczJ6lZgMg4YC,https://api.spotify.com/v1/audio-analysis/0qVqIByd5RczJ6lZgMg4YC,233400,4
GUILTY,0.548,0.876,9,-3.824,0,0.0481,0.0014,3.78e-06,0.32,0.734,104.95,audio_features,6K92xSjNXpNeHY7nejoa96,spotify:track:6K92xSjNXpNeHY7nejoa96,https://api.spotify.com/v1/tracks/6K92xSjNXpNeHY7nejoa96,https://api.spotify.com/v1/audio-analysis/6K92xSjNXpNeHY7nejoa96,251507,4
Without You,0.378,0.977,5,-3.303,1,0.0887,1.43e-05,0.263,0.229,0.389,100.216,audio_features,3jxvYRnxLcY3civwhU0wnB,spotify:track:3jxvYRnxLcY3civwhU0wnB,https://api.spotify.com/v1/tracks/3jxvYRnxLcY3civwhU0wnB,https://api.spotify.com/v1/audio-analysis/3jxvYRnxLcY3civwhU0wnB,219900,4
NO WAY,0.435,0.887,0,-3.586,1,0.0361,9.62e-05,1.19e-05,0.122,0.498,100.623,audio_features,1YjaSaqvxlLMXFPcoZrGbj,spotify:track:1YjaSaqvxlLMXFPcoZrGbj,https://api.spotify.com/v1/tracks/1YjaSaqvxlLMXFPcoZrGbj,https://api.spotify.com/v1/audio-analysis/1YjaSaqvxlLMXFPcoZrGbj,259533,4
SLAP THAT NAUGHTY BODY,0.621,0.932,3,-3.64,0,0.151,0.00937,0,0.262,0.57,126.865,audio_features,1H91GfNdRwz4eKwypvoh23,spotify:track:1H91GfNdRwz4eKwypvoh23,https://api.spotify.com/v1/tracks/1H91GfNdRwz4eKwypvoh23,https://api.spotify.com/v1/audio-analysis/1H91GfNdRwz4eKwypvoh23,208300,4
Shape of your love,0.446,0.673,2,-5.014,0,0.0292,0.0152,0.000266,0.113,0.228,81.777,audio_features,32p7akfsnZmRdeE3wD5Gum,spotify:track:32p7akfsnZmRdeE3wD5Gum,https://api.spotify.com/v1/tracks/32p7akfsnZmRdeE3wD5Gum,https://api.spotify.com/v1/audio-analysis/32p7akfsnZmRdeE3wD5Gum,231400,4
MY FATE,0.493,0.707,5,-6.528,0,0.0359,0.0127,0.000743,0.071,0.189,92.927,audio_features,72niISEMRG4y0HtVEaFL12,spotify:track:72niISEMRG4y0HtVEaFL12,https://api.spotify.com/v1/tracks/72niISEMRG4y0HtVEaFL12,https://api.spotify.com/v1/audio-analysis/72niISEMRG4y0HtVEaFL12,287933,4
Voyagers,0.494,0.846,4,-1.771,1,0.0301,0.0118,3.08e-06,0.193,0.392,111.068,audio_features,5EVKuiHKyFe3JbnTpHw23H,spotify:track:5EVKuiHKyFe3JbnTpHw23H,https://api.spotify.com/v1/tracks/5EVKuiHKyFe3JbnTpHw23H,https://api.spotify.com/v1/audio-analysis/5EVKuiHKyFe3JbnTpHw23H,313133,4
Switch On!(『仮面ライダーフォーゼ』主題歌),0.515,0.965,4,-4.029,1,0.152,0.0057,0,0.346,0.449,95.013,audio_features,3fHdHJxpfa5tLiiuv9wTZh,spotify:track:3fHdHJxpfa5tLiiuv9wTZh,https://api.spotify.com/v1/tracks/3fHdHJxpfa5tLiiuv9wTZh,https://api.spotify.com/v1/audio-analysis/3fHdHJxpfa5tLiiuv9wTZh,201400,3
Switch On!,0.516,0.963,8,-3.828,0,0.135,0.00624,0,0.328,0.453,94.883,audio_features,6P1gAgdPgdKNvJkbZS1UJn,spotify:track:6P1gAgdPgdKNvJkbZS1UJn,https://api.spotify.com/v1/tracks/6P1gAgdPgdKNvJkbZS1UJn,https://api.spotify.com/v1/audio-analysis/6P1gAgdPgdKNvJkbZS1UJn,200480,3
ecstasy,0.494,0.871,10,-6.189,0,0.0384,2.39e-05,0,0.696,0.652,95.859,audio_features,0H5qMrQPTPwgw4P5chjNQo,spotify:track:0H5qMrQPTPwgw4P5chjNQo,https://api.spotify.com/v1/tracks/0H5qMrQPTPwgw4P5chjNQo,https://api.spotify.com/v1/audio-analysis/0H5qMrQPTPwgw4P5chjNQo,205767,4
Ah Ah,0.588,0.911,10,-3.974,0,0.142,0.00178,0.548,0.138,0.607,133.914,audio_features,3Jo7zGotRtQk4OaFgPG6RI,spotify:track:3Jo7zGotRtQk4OaFgPG6RI,https://api.spotify.com/v1/tracks/3Jo7zGotRtQk4OaFgPG6RI,https://api.spotify.com/v1/audio-analysis/3Jo7zGotRtQk4OaFgPG6RI,196733,4
Change your life,0.477,0.861,4,-4.703,0,0.0281,0.0427,0,0.109,0.465,87.952,audio_features,2xa2Ff2gdhhpwobEh2HAQU,spotify:track:2xa2Ff2gdhhpwobEh2HAQU,https://api.spotify.com/v1/tracks/2xa2Ff2gdhhpwobEh2HAQU,https://api.spotify.com/v1/audio-analysis/2xa2Ff2gdhhpwobEh2HAQU,222900,4
Interlude,0.515,0.981,2,-6.054,1,0.0591,0.00011,0.883,0.124,0.628,113.939,audio_features,0tM8I1HxY9aMldano89zQI,spotify:track:0tM8I1HxY9aMldano89zQI,https://api.spotify.com/v1/tracks/0tM8I1HxY9aMldano89zQI,https://api.spotify.com/v1/audio-analysis/0tM8I1HxY9aMldano89zQI,51200,4
Under My Mask,0.31,0.939,1,-4.248,1,0.0945,0.00337,0.000687,0.139,0.533,106.746,audio_features,1ojlVSkU4bDVC9WRzH8lvH,spotify:track:1ojlVSkU4bDVC9WRzH8lvH,https://api.spotify.com/v1/tracks/1ojlVSkU4bDVC9WRzH8lvH,https://api.spotify.com/v1/audio-analysis/1ojlVSkU4bDVC9WRzH8lvH,182400,4
GUILTY,0.549,0.882,0,-3.719,1,0.0466,0.00156,2.35e-06,0.319,0.72,104.971,audio_features,2uU1ScX7W7LMEFPFhjiTlg,spotify:track:2uU1ScX7W7LMEFPFhjiTlg,https://api.spotify.com/v1/tracks/2uU1ScX7W7LMEFPFhjiTlg,https://api.spotify.com/v1/audio-analysis/2uU1ScX7W7LMEFPFhjiTlg,251507,4
Taste My Skin,0.603,0.875,9,-3.715,0,0.11,0.000737,0.000899,0.042,0.824,149.984,audio_features,48bCFYyUWhsdyeR4S87kG7,spotify:track:48bCFYyUWhsdyeR4S87kG7,https://api.spotify.com/v1/tracks/48bCFYyUWhsdyeR4S87kG7,https://api.spotify.com/v1/audio-analysis/48bCFYyUWhsdyeR4S87kG7,190707,4
GINGER,0.739,0.945,4,-3.821,0,0.0373,0.137,0,0.0663,0.902,129.967,audio_features,33GFsotVb0idVS3AmFqRi0,spotify:track:33GFsotVb0idVS3AmFqRi0,https://api.spotify.com/v1/tracks/33GFsotVb0idVS3AmFqRi0,https://api.spotify.com/v1/audio-analysis/33GFsotVb0idVS3AmFqRi0,154533,4
True Colors,0.505,0.671,0,-4.112,1,0.057,0.00381,0,0.0472,0.499,128.026,audio_features,1MHLvyn6nZSMKuNpmqJ97I,spotify:track:1MHLvyn6nZSMKuNpmqJ97I,https://api.spotify.com/v1/tracks/1MHLvyn6nZSMKuNpmqJ97I,https://api.spotify.com/v1/audio-analysis/1MHLvyn6nZSMKuNpmqJ97I,208967,4
The Magic of Halloween,0.36,0.955,0,-4.701,1,0.122,4.89e-05,0.361,0.0552,0.259,77.039,audio_features,7tszyP0Eyd2AXYEkRUpwc3,spotify:track:7tszyP0Eyd2AXYEkRUpwc3,https://api.spotify.com/v1/tracks/7tszyP0Eyd2AXYEkRUpwc3,https://api.spotify.com/v1/audio-analysis/7tszyP0Eyd2AXYEkRUpwc3,259667,4
rose,0.199,0.919,9,-3.822,0,0.0647,0.000104,0,0.32,0.352,171.494,audio_features,3PLQmmxDNF6dcblrRWxuK6,spotify:track:3PLQmmxDNF6dcblrRWxuK6,https://api.spotify.com/v1/tracks/3PLQmmxDNF6dcblrRWxuK6,https://api.spotify.com/v1/audio-analysis/3PLQmmxDNF6dcblrRWxuK6,225960,4
Somebody Help Me,0.479,0.888,8,-2.702,1,0.0401,0.000382,0.171,0.164,0.279,96.098,audio_features,7tQshgjpgoIjBrfoxA7oLf,spotify:track:7tQshgjpgoIjBrfoxA7oLf,https://api.spotify.com/v1/tracks/7tQshgjpgoIjBrfoxA7oLf,https://api.spotify.com/v1/audio-analysis/7tQshgjpgoIjBrfoxA7oLf,204680,4
knock down,0.557,0.941,5,-4.505,1,0.0727,0.000707,0.0172,0.0521,0.473,129.965,audio_features,3I4Ux2Or90VSF5OpswdbAF,spotify:track:3I4Ux2Or90VSF5OpswdbAF,https://api.spotify.com/v1/tracks/3I4Ux2Or90VSF5OpswdbAF,https://api.spotify.com/v1/audio-analysis/3I4Ux2Or90VSF5OpswdbAF,274833,4
Give me kiss & kiss,0.558,0.735,0,-5.287,1,0.03,0.024,0,0.103,0.643,145.853,audio_features,357ChfIPUHVw03Sd7JoyAY,spotify:track:357ChfIPUHVw03Sd7JoyAY,https://api.spotify.com/v1/tracks/357ChfIPUHVw03Sd7JoyAY,https://api.spotify.com/v1/audio-analysis/357ChfIPUHVw03Sd7JoyAY,230067,4
Jane,0.604,0.834,7,-7.016,1,0.0508,0.072,0,0.316,0.831,89.921,audio_features,21gpKUzLjHuJCsDmxmIy7i,spotify:track:21gpKUzLjHuJCsDmxmIy7i,https://api.spotify.com/v1/tracks/21gpKUzLjHuJCsDmxmIy7i,https://api.spotify.com/v1/audio-analysis/21gpKUzLjHuJCsDmxmIy7i,205133,4
Forever,0.364,0.251,4,-10.28,1,0.0292,0.922,0.00101,0.0958,0.0733,137.703,audio_features,16wHYiruROCOs9xRwGBCrU,spotify:track:16wHYiruROCOs9xRwGBCrU,https://api.spotify.com/v1/tracks/16wHYiruROCOs9xRwGBCrU,https://api.spotify.com/v1/audio-analysis/16wHYiruROCOs9xRwGBCrU,265200,4
Voice of butterfly,0.553,0.618,2,-4.785,0,0.0295,0.676,1.42e-06,0.131,0.324,129.897,audio_features,39XTBYhg1wfNirbBkw3jqQ,spotify:track:39XTBYhg1wfNirbBkw3jqQ,https://api.spotify.com/v1/tracks/39XTBYhg1wfNirbBkw3jqQ,https://api.spotify.com/v1/audio-analysis/39XTBYhg1wfNirbBkw3jqQ,289707,4
BLUE MOON,0.319,0.555,5,-7.939,0,0.0291,0.24,0.000127,0.109,0.413,87.944,audio_features,56OJj3CirY3bs5OpYrDh2c,spotify:track:56OJj3CirY3bs5OpYrDh2c,https://api.spotify.com/v1/tracks/56OJj3CirY3bs5OpYrDh2c,https://api.spotify.com/v1/audio-analysis/56OJj3CirY3bs5OpYrDh2c,228000,4
FROZEN ROSE,0.509,0.854,2,-3.438,0,0.0511,0.029,0.000716,0.0851,0.351,116.949,audio_features,5zAZcpfpMyIXfOoXrW2o36,spotify:track:5zAZcpfpMyIXfOoXrW2o36,https://api.spotify.com/v1/tracks/5zAZcpfpMyIXfOoXrW2o36,https://api.spotify.com/v1/audio-analysis/5zAZcpfpMyIXfOoXrW2o36,244120,4
Grooving beating,0.459,0.953,6,-4.286,1,0.107,0.00203,1.04e-06,0.301,0.455,119.941,audio_features,6bAgzD36LeyWFmuwUXFrz7,spotify:track:6bAgzD36LeyWFmuwUXFrz7,https://api.spotify.com/v1/tracks/6bAgzD36LeyWFmuwUXFrz7,https://api.spotify.com/v1/audio-analysis/6bAgzD36LeyWFmuwUXFrz7,219767,4
She Hates Me,0.309,0.989,6,-1.577,0,0.203,0.0161,0,0.303,0.327,171.653,audio_features,0xsL4VvcJlKpWU1Jaeijtz,spotify:track:0xsL4VvcJlKpWU1Jaeijtz,https://api.spotify.com/v1/tracks/0xsL4VvcJlKpWU1Jaeijtz,https://api.spotify.com/v1/audio-analysis/0xsL4VvcJlKpWU1Jaeijtz,178800,4
Switch On! - TV-size,0.543,0.963,11,-4.02,1,0.152,0.0125,0,0.6,0.667,94.945,audio_features,2A71i5PL0esrs08SZoHJzo,spotify:track:2A71i5PL0esrs08SZoHJzo,https://api.spotify.com/v1/tracks/2A71i5PL0esrs08SZoHJzo,https://api.spotify.com/v1/audio-analysis/2A71i5PL0esrs08SZoHJzo,70187,3
Taste My Skin,0.595,0.866,4,-4.042,0,0.114,0.000783,0.000637,0.0426,0.837,150.027,audio_features,06xwDr1193pkuwT5ft53J4,spotify:track:06xwDr1193pkuwT5ft53J4,https://api.spotify.com/v1/tracks/06xwDr1193pkuwT5ft53J4,https://api.spotify.com/v1/audio-analysis/06xwDr1193pkuwT5ft53J4,190707,4
SLAP THAT NAUGHTY BODY,0.619,0.932,6,-3.42,1,0.149,0.00937,0,0.269,0.536,126.842,audio_features,66NkxO5jeyeM8XmyXC4tzF,spotify:track:66NkxO5jeyeM8XmyXC4tzF,https://api.spotify.com/v1/tracks/66NkxO5jeyeM8XmyXC4tzF,https://api.spotify.com/v1/audio-analysis/66NkxO5jeyeM8XmyXC4tzF,208300,4
LUCIFER,0.373,0.854,6,-5.457,1,0.0756,0.00563,3.21e-05,0.45,0.607,93.053,audio_features,4UwgQ41WlX4jjuAUr0DOgS,spotify:track:4UwgQ41WlX4jjuAUr0DOgS,https://api.spotify.com/v1/tracks/4UwgQ41WlX4jjuAUr0DOgS,https://api.spotify.com/v1/audio-analysis/4UwgQ41WlX4jjuAUr0DOgS,213640,4
Switch On! - 『超英雄祭』 LIVE,0.429,0.969,8,-3.162,0,0.107,0.00399,0,0.413,0.304,94.954,audio_features,4pbCHajYLDOubVORmG0brd,spotify:track:4pbCHajYLDOubVORmG0brd,https://api.spotify.com/v1/tracks/4pbCHajYLDOubVORmG0brd,https://api.spotify.com/v1/audio-analysis/4pbCHajYLDOubVORmG0brd,218493,4
LUCIFER,0.602,0.844,6,-5.529,1,0.0593,0.00538,1.07e-05,0.428,0.596,92.017,audio_features,2BjsFZligb7fBbW2Q4iPC2,spotify:track:2BjsFZligb7fBbW2Q4iPC2,https://api.spotify.com/v1/tracks/2BjsFZligb7fBbW2Q4iPC2,https://api.spotify.com/v1/audio-analysis/2BjsFZligb7fBbW2Q4iPC2,213640,4
BUBBLE TRIP,0.741,0.786,5,-4.262,0,0.0588,0.0887,0,0.306,0.942,131.022,audio_features,2aIU5u9gJrZTZ95M4AOUgr,spotify:track:2aIU5u9gJrZTZ95M4AOUgr,https://api.spotify.com/v1/tracks/2aIU5u9gJrZTZ95M4AOUgr,https://api.spotify.com/v1/audio-analysis/2aIU5u9gJrZTZ95M4AOUgr,174133,4
BLOOD ON BLOOD,0.595,0.837,5,-2.876,0,0.0658,0.0176,0.000636,0.224,0.367,112.031,audio_features,1j5Ja9aoUHM6JftD9pXoJV,spotify:track:1j5Ja9aoUHM6JftD9pXoJV,https://api.spotify.com/v1/tracks/1j5Ja9aoUHM6JftD9pXoJV,https://api.spotify.com/v1/audio-analysis/1j5Ja9aoUHM6JftD9pXoJV,243480,4
Crazy World,0.729,0.829,5,-4.24,1,0.141,0.209,0,0.204,0.788,100.998,audio_features,1skT6SETkcU1CyZPSo185x,spotify:track:1skT6SETkcU1CyZPSo185x,https://api.spotify.com/v1/tracks/1skT6SETkcU1CyZPSo185x,https://api.spotify.com/v1/audio-analysis/1skT6SETkcU1CyZPSo185x,219960,4
Ah Ah - Shinichi Osawa remix,0.559,0.942,8,-5.513,1,0.0507,0.0319,0.624,0.114,0.583,134.009,audio_features,4VTryfAoNNm4mlWGQEBfM5,spotify:track:4VTryfAoNNm4mlWGQEBfM5,https://api.spotify.com/v1/tracks/4VTryfAoNNm4mlWGQEBfM5,https://api.spotify.com/v1/audio-analysis/4VTryfAoNNm4mlWGQEBfM5,317700,4
Believe in Love,0.334,0.62,7,-4.076,0,0.0307,0.82,0,0.169,0.134,140.276,audio_features,1LRNjpnnkIVZVP00jeSzQU,spotify:track:1LRNjpnnkIVZVP00jeSzQU,https://api.spotify.com/v1/tracks/1LRNjpnnkIVZVP00jeSzQU,https://api.spotify.com/v1/audio-analysis/1LRNjpnnkIVZVP00jeSzQU,225520,4
zero,0.327,0.99,11,-2.41,1,0.102,0.000127,0.234,0.199,0.192,95.004,audio_features,31twqZAofwOXReMEsPaMeH,spotify:track:31twqZAofwOXReMEsPaMeH,https://api.spotify.com/v1/tracks/31twqZAofwOXReMEsPaMeH,https://api.spotify.com/v1/audio-analysis/31twqZAofwOXReMEsPaMeH,225467,4
Lady Marmalade,0.673,0.865,5,-2.907,0,0.0488,0.00284,0,0.0696,0.462,109.92,audio_features,47e9METTk3521wkscz4rMY,spotify:track:47e9METTk3521wkscz4rMY,https://api.spotify.com/v1/tracks/47e9METTk3521wkscz4rMY,https://api.spotify.com/v1/audio-analysis/47e9METTk3521wkscz4rMY,254720,4
Shout in the rain,0.434,0.888,9,-2.561,1,0.0422,0.00118,1.03e-05,0.347,0.546,89.973,audio_features,6S8zUbEbQ2fWS8VSmURzoX,spotify:track:6S8zUbEbQ2fWS8VSmURzoX,https://api.spotify.com/v1/tracks/6S8zUbEbQ2fWS8VSmURzoX,https://api.spotify.com/v1/audio-analysis/6S8zUbEbQ2fWS8VSmURzoX,280440,4
She Hates Me,0.423,0.989,9,-1.577,1,0.13,0.0161,0,0.306,0.337,85.899,audio_features,1l0owAJPiCjMZTmlFki1u1,spotify:track:1l0owAJPiCjMZTmlFki1u1,https://api.spotify.com/v1/tracks/1l0owAJPiCjMZTmlFki1u1,https://api.spotify.com/v1/audio-analysis/1l0owAJPiCjMZTmlFki1u1,178800,4
"CHECKMATE - mash up ANTY the 紅乃壱,VOLTA MASTERS",0.632,0.949,7,-2.722,0,0.0475,0.00282,0.000114,0.654,0.655,126.973,audio_features,1QrQJ2zztDmKMOwInP9XUf,spotify:track:1QrQJ2zztDmKMOwInP9XUf,https://api.spotify.com/v1/tracks/1QrQJ2zztDmKMOwInP9XUf,https://api.spotify.com/v1/audio-analysis/1QrQJ2zztDmKMOwInP9XUf,275800,4
My Lullaby,0.419,0.85,0,-2.629,0,0.0381,0.0127,0.0301,0.356,0.635,141.96,audio_features,31DRWuHtP2L8bTzvJU3umh,spotify:track:31DRWuHtP2L8bTzvJU3umh,https://api.spotify.com/v1/tracks/31DRWuHtP2L8bTzvJU3umh,https://api.spotify.com/v1/audio-analysis/31DRWuHtP2L8bTzvJU3umh,173840,4
Brave vibration,0.522,0.88,4,-3.106,1,0.0463,0.0225,0,0.144,0.788,96.971,audio_features,2RJuPK6ZwQBBWYV4SoOUry,spotify:track:2RJuPK6ZwQBBWYV4SoOUry,https://api.spotify.com/v1/tracks/2RJuPK6ZwQBBWYV4SoOUry,https://api.spotify.com/v1/audio-analysis/2RJuPK6ZwQBBWYV4SoOUry,213440,4
FROZEN ROSE,0.505,0.848,2,-3.748,0,0.0522,0.0282,0.00123,0.0822,0.359,116.983,audio_features,50gp28IuwOTtxyaZdgdVPf,spotify:track:50gp28IuwOTtxyaZdgdVPf,https://api.spotify.com/v1/tracks/50gp28IuwOTtxyaZdgdVPf,https://api.spotify.com/v1/audio-analysis/50gp28IuwOTtxyaZdgdVPf,244120,4
What you gonna do?,0.718,0.854,7,-3.582,1,0.132,0.042,1.95e-06,0.078,0.831,89.945,audio_features,2UUh3jKd3HGRYDmlSTODuQ,spotify:track:2UUh3jKd3HGRYDmlSTODuQ,https://api.spotify.com/v1/tracks/2UUh3jKd3HGRYDmlSTODuQ,https://api.spotify.com/v1/audio-analysis/2UUh3jKd3HGRYDmlSTODuQ,194240,4
QUEEN OF THE ROCK,0.581,0.918,7,-3.016,1,0.16,0.00724,0.00104,0.229,0.542,141.976,audio_features,6MVCCIkV66ElHT7YuI7C9q,spotify:track:6MVCCIkV66ElHT7YuI7C9q,https://api.spotify.com/v1/tracks/6MVCCIkV66ElHT7YuI7C9q,https://api.spotify.com/v1/audio-analysis/6MVCCIkV66ElHT7YuI7C9q,320107,4
GUN! GUN! LOVE!,0.625,0.855,1,-3.19,0,0.0322,0.000191,3.01e-05,0.333,0.839,124.979,audio_features,4eaCI5IqkZl96qh8mR5Qax,spotify:track:4eaCI5IqkZl96qh8mR5Qax,https://api.spotify.com/v1/tracks/4eaCI5IqkZl96qh8mR5Qax,https://api.spotify.com/v1/audio-analysis/4eaCI5IqkZl96qh8mR5Qax,222120,4
Master Blaster,0.356,0.879,0,-2.974,1,0.0531,0.0811,1.05e-06,0.271,0.363,167.888,audio_features,7JSSh4nIKrgg2uCmlJEqlA,spotify:track:7JSSh4nIKrgg2uCmlJEqlA,https://api.spotify.com/v1/tracks/7JSSh4nIKrgg2uCmlJEqlA,https://api.spotify.com/v1/audio-analysis/7JSSh4nIKrgg2uCmlJEqlA,240680,4
cocoon,0.465,0.896,1,-4.331,1,0.0373,0.000298,3.06e-05,0.0999,0.693,102.051,audio_features,1nEePODnUIi99BdUHdjEH2,spotify:track:1nEePODnUIi99BdUHdjEH2,https://api.spotify.com/v1/tracks/1nEePODnUIi99BdUHdjEH2,https://api.spotify.com/v1/audio-analysis/1nEePODnUIi99BdUHdjEH2,221621,4
Melt Into Blue,0.472,0.53,4,-5.794,1,0.0251,0.357,7.58e-06,0.0981,0.07,90.986,audio_features,5LO00gQS43TUI6rWy5uaKF,spotify:track:5LO00gQS43TUI6rWy5uaKF,https://api.spotify.com/v1/tracks/5LO00gQS43TUI6rWy5uaKF,https://api.spotify.com/v1/audio-analysis/5LO00gQS43TUI6rWy5uaKF,267747,4
Serenade,0.417,0.397,1,-8.072,0,0.0348,0.758,0.00175,0.118,0.377,149.285,audio_features,4zZoKivv0ZvuVhdnTgfBMQ,spotify:track:4zZoKivv0ZvuVhdnTgfBMQ,https://api.spotify.com/v1/tracks/4zZoKivv0ZvuVhdnTgfBMQ,https://api.spotify.com/v1/audio-analysis/4zZoKivv0ZvuVhdnTgfBMQ,175733,3
Atashi,0.34,0.946,11,-2.164,0,0.0673,0.00154,0.000253,0.256,0.639,175.779,audio_features,4F5PkT9EtZQ4IDCdpxjE9I,spotify:track:4F5PkT9EtZQ4IDCdpxjE9I,https://api.spotify.com/v1/tracks/4F5PkT9EtZQ4IDCdpxjE9I,https://api.spotify.com/v1/audio-analysis/4F5PkT9EtZQ4IDCdpxjE9I,231960,4
ANNA TSUCHIYA MEGA-MIX,0.28,0.936,4,-2.627,0,0.145,0.0182,0,0.43,0.497,85.151,audio_features,0vDDRxrdgz9FUc2IURtKCA,spotify:track:0vDDRxrdgz9FUc2IURtKCA,https://api.spotify.com/v1/tracks/0vDDRxrdgz9FUc2IURtKCA,https://api.spotify.com/v1/audio-analysis/0vDDRxrdgz9FUc2IURtKCA,419773,4
ANNA TSUCHIYA MEGA-MIX,0.26,0.935,4,-2.659,0,0.151,0.0192,0,0.429,0.462,85.273,audio_features,7lmgr7UeY75MxRjTMS1mgx,spotify:track:7lmgr7UeY75MxRjTMS1mgx,https://api.spotify.com/v1/tracks/7lmgr7UeY75MxRjTMS1mgx,https://api.spotify.com/v1/audio-analysis/7lmgr7UeY75MxRjTMS1mgx,419787,4
FROZEN ROSE - New Take,0.475,0.773,5,-4.279,1,0.037,0.00381,0,0.186,0.314,116.991,audio_features,3qvVpZJsdPsAiJMbm9NsKh,spotify:track:3qvVpZJsdPsAiJMbm9NsKh,https://api.spotify.com/v1/tracks/3qvVpZJsdPsAiJMbm9NsKh,https://api.spotify.com/v1/audio-analysis/3qvVpZJsdPsAiJMbm9NsKh,244973,4
