name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
心の鍵,0.404,0.75,6,-4.659,0,0.0485,0.361,0,0.129,0.585,84.022,audio_features,66YpbrYdVmQLqCsnYh8UAG,spotify:track:66YpbrYdVmQLqCsnYh8UAG,https://api.spotify.com/v1/tracks/66YpbrYdVmQLqCsnYh8UAG,https://api.spotify.com/v1/audio-analysis/66YpbrYdVmQLqCsnYh8UAG,308320,4
心の鍵,0.448,0.753,9,-4.51,1,0.0513,0.363,0,0.145,0.549,169.781,audio_features,5mklYvYaMZoy2SIljKvA4T,spotify:track:5mklYvYaMZoy2SIljKvA4T,https://api.spotify.com/v1/tracks/5mklYvYaMZoy2SIljKvA4T,https://api.spotify.com/v1/audio-analysis/5mklYvYaMZoy2SIljKvA4T,307507,4
ふたりのまほう,0.506,0.81,1,-4.548,1,0.0442,0.378,0,0.092,0.485,144.908,audio_features,2sxba3dBEuKW6MSlOCJ1Tl,spotify:track:2sxba3dBEuKW6MSlOCJ1Tl,https://api.spotify.com/v1/tracks/2sxba3dBEuKW6MSlOCJ1Tl,https://api.spotify.com/v1/audio-analysis/2sxba3dBEuKW6MSlOCJ1Tl,199813,4
Garden,0.734,0.884,8,-3.036,1,0.0602,0.138,0,0.0866,0.716,99.973,audio_features,5lHPQAvtk7K3tpTd9W0ySh,spotify:track:5lHPQAvtk7K3tpTd9W0ySh,https://api.spotify.com/v1/tracks/5lHPQAvtk7K3tpTd9W0ySh,https://api.spotify.com/v1/audio-analysis/5lHPQAvtk7K3tpTd9W0ySh,325440,4
涙そうそう,0.446,0.476,4,-6.286,1,0.0326,0.647,0,0.135,0.486,143.518,audio_features,5dJNzw3LnRyDW1WgBVm1ic,spotify:track:5dJNzw3LnRyDW1WgBVm1ic,https://api.spotify.com/v1/tracks/5dJNzw3LnRyDW1WgBVm1ic,https://api.spotify.com/v1/audio-analysis/5dJNzw3LnRyDW1WgBVm1ic,272027,4
糸,0.405,0.245,2,-11.318,1,0.0414,0.851,0,0.164,0.319,139.11,audio_features,3piaODVOXVuhlIkto9Ux84,spotify:track:3piaODVOXVuhlIkto9Ux84,https://api.spotify.com/v1/tracks/3piaODVOXVuhlIkto9Ux84,https://api.spotify.com/v1/audio-analysis/3piaODVOXVuhlIkto9Ux84,245507,4
Jealous Girl,0.743,0.656,7,-4.157,1,0.0811,0.385,3.94e-06,0.0671,0.51,118.009,audio_features,75K0hOM8M96f3mxLwFEPFZ,spotify:track:75K0hOM8M96f3mxLwFEPFZ,https://api.spotify.com/v1/tracks/75K0hOM8M96f3mxLwFEPFZ,https://api.spotify.com/v1/audio-analysis/75K0hOM8M96f3mxLwFEPFZ,244253,4
ロンリー・チャップリン - with クリス・ハート,0.694,0.719,5,-5.316,1,0.0289,0.158,0,0.393,0.692,113.002,audio_features,7ha72YttdtKlZCkzUA4eZ2,spotify:track:7ha72YttdtKlZCkzUA4eZ2,https://api.spotify.com/v1/tracks/7ha72YttdtKlZCkzUA4eZ2,https://api.spotify.com/v1/audio-analysis/7ha72YttdtKlZCkzUA4eZ2,291126,4
初恋,0.62,0.542,5,-6.602,1,0.0393,0.806,0,0.0958,0.454,125.409,audio_features,31E7Y26DRjOfQjw9KssvvG,spotify:track:31E7Y26DRjOfQjw9KssvvG,https://api.spotify.com/v1/tracks/31E7Y26DRjOfQjw9KssvvG,https://api.spotify.com/v1/audio-analysis/31E7Y26DRjOfQjw9KssvvG,239449,4
ウイスキーが、お好きでしょ,0.531,0.345,10,-8.015,1,0.0313,0.705,1.12e-05,0.166,0.357,119.41,audio_features,5rL42bNSUv9sMhkROZGEdZ,spotify:track:5rL42bNSUv9sMhkROZGEdZ,https://api.spotify.com/v1/tracks/5rL42bNSUv9sMhkROZGEdZ,https://api.spotify.com/v1/audio-analysis/5rL42bNSUv9sMhkROZGEdZ,157910,3
渚,0.591,0.77,10,-4.467,1,0.0337,0.319,5.01e-06,0.12,0.437,105.042,audio_features,1gdpU1aAZ0EyUUPs54tFnY,spotify:track:1gdpU1aAZ0EyUUPs54tFnY,https://api.spotify.com/v1/tracks/1gdpU1aAZ0EyUUPs54tFnY,https://api.spotify.com/v1/audio-analysis/1gdpU1aAZ0EyUUPs54tFnY,280387,4
土曜の夜はパラダイス,0.731,0.718,6,-4.579,1,0.0283,0.127,0,0.164,0.872,113.946,audio_features,5jvk9kLUQMiJFo7aHnYiFi,spotify:track:5jvk9kLUQMiJFo7aHnYiFi,https://api.spotify.com/v1/tracks/5jvk9kLUQMiJFo7aHnYiFi,https://api.spotify.com/v1/audio-analysis/5jvk9kLUQMiJFo7aHnYiFi,250662,4
Another Day of Sun - Instrumental,0.618,0.648,0,-7.329,0,0.0297,0.0123,0.878,0.323,0.731,125.893,audio_features,6P7YZCBZBZIRP6LT4Fzjtg,spotify:track:6P7YZCBZBZIRP6LT4Fzjtg,https://api.spotify.com/v1/tracks/6P7YZCBZBZIRP6LT4Fzjtg,https://api.spotify.com/v1/audio-analysis/6P7YZCBZBZIRP6LT4Fzjtg,227996,4
A Whole New World,0.423,0.351,2,-7.761,1,0.0301,0.77,0,0.375,0.127,102.947,audio_features,59qedKtNG7TsVYQJb7iXRJ,spotify:track:59qedKtNG7TsVYQJb7iXRJ,https://api.spotify.com/v1/tracks/59qedKtNG7TsVYQJb7iXRJ,https://api.spotify.com/v1/audio-analysis/59qedKtNG7TsVYQJb7iXRJ,291373,4
メロディー,0.544,0.164,0,-9.072,1,0.0481,0.951,4.05e-05,0.11,0.256,128.085,audio_features,2j0yTJg6UXwiw7WXhL3r4N,spotify:track:2j0yTJg6UXwiw7WXhL3r4N,https://api.spotify.com/v1/tracks/2j0yTJg6UXwiw7WXhL3r4N,https://api.spotify.com/v1/audio-analysis/2j0yTJg6UXwiw7WXhL3r4N,291741,4
絆∞Infinity,0.404,0.833,7,-4.118,1,0.0744,0.221,0,0.374,0.484,160.074,audio_features,5x7Lm8SaRRY2w9ynuIZ38r,spotify:track:5x7Lm8SaRRY2w9ynuIZ38r,https://api.spotify.com/v1/tracks/5x7Lm8SaRRY2w9ynuIZ38r,https://api.spotify.com/v1/audio-analysis/5x7Lm8SaRRY2w9ynuIZ38r,317908,4
ハナミズキ,0.378,0.518,4,-5.434,1,0.0301,0.479,0,0.336,0.342,139.784,audio_features,2OtOqKKU8NSSiLtW1I8x7i,spotify:track:2OtOqKKU8NSSiLtW1I8x7i,https://api.spotify.com/v1/tracks/2OtOqKKU8NSSiLtW1I8x7i,https://api.spotify.com/v1/audio-analysis/2OtOqKKU8NSSiLtW1I8x7i,349640,4
想い出がいっぱい,0.508,0.58,7,-5.112,1,0.0266,0.349,1.39e-06,0.181,0.393,137.871,audio_features,0MANf68cgfXI9ek1FInpRd,spotify:track:0MANf68cgfXI9ek1FInpRd,https://api.spotify.com/v1/tracks/0MANf68cgfXI9ek1FInpRd,https://api.spotify.com/v1/audio-analysis/0MANf68cgfXI9ek1FInpRd,255532,4
レット・イット・ゴー~ありのままで~ - Japanese End Credit Version,0.532,0.667,7,-6.351,1,0.0315,0.00516,0,0.248,0.249,140.061,audio_features,16QiytkTIgRUF2GcNZfY1c,spotify:track:16QiytkTIgRUF2GcNZfY1c,https://api.spotify.com/v1/tracks/16QiytkTIgRUF2GcNZfY1c,https://api.spotify.com/v1/audio-analysis/16QiytkTIgRUF2GcNZfY1c,224813,4
埠頭を渡る風,0.582,0.797,4,-3.857,0,0.0344,0.163,0,0.604,0.676,128.043,audio_features,4FPlR9MRmtR3biamgwzRlC,spotify:track:4FPlR9MRmtR3biamgwzRlC,https://api.spotify.com/v1/tracks/4FPlR9MRmtR3biamgwzRlC,https://api.spotify.com/v1/audio-analysis/4FPlR9MRmtR3biamgwzRlC,258038,4
レット・イット・ゴー~ありのままで~ - Japanese Version,0.577,0.457,8,-6.163,1,0.0288,0.758,0,0.124,0.335,136.93,audio_features,5MoS9hk4lrXxbN17SIRwI5,spotify:track:5MoS9hk4lrXxbN17SIRwI5,https://api.spotify.com/v1/tracks/5MoS9hk4lrXxbN17SIRwI5,https://api.spotify.com/v1/audio-analysis/5MoS9hk4lrXxbN17SIRwI5,224600,4
北極星〜Polestar〜,0.503,0.703,3,-3.863,1,0.0382,0.187,0,0.0842,0.378,76.907,audio_features,4oGIVDGKdDBs2coqyNl94w,spotify:track:4oGIVDGKdDBs2coqyNl94w,https://api.spotify.com/v1/tracks/4oGIVDGKdDBs2coqyNl94w,https://api.spotify.com/v1/audio-analysis/4oGIVDGKdDBs2coqyNl94w,311467,4
月のしずく,0.498,0.569,8,-5.273,0,0.0334,0.761,0,0.178,0.448,74.955,audio_features,7BdOolenxDKgAQYZg8RwKD,spotify:track:7BdOolenxDKgAQYZg8RwKD,https://api.spotify.com/v1/tracks/7BdOolenxDKgAQYZg8RwKD,https://api.spotify.com/v1/audio-analysis/7BdOolenxDKgAQYZg8RwKD,287355,4
Faith,0.422,0.67,6,-5.754,1,0.0386,0.167,0,0.0654,0.468,181.458,audio_features,1EaFDyqRQasU3ZfFPgx1Pt,spotify:track:1EaFDyqRQasU3ZfFPgx1Pt,https://api.spotify.com/v1/tracks/1EaFDyqRQasU3ZfFPgx1Pt,https://api.spotify.com/v1/audio-analysis/1EaFDyqRQasU3ZfFPgx1Pt,281560,4
涙そうそう,0.467,0.468,4,-6.433,1,0.0312,0.65,0,0.179,0.517,144.094,audio_features,2LjSpcOAceyBW96cDSzq1k,spotify:track:2LjSpcOAceyBW96cDSzq1k,https://api.spotify.com/v1/tracks/2LjSpcOAceyBW96cDSzq1k,https://api.spotify.com/v1/audio-analysis/2LjSpcOAceyBW96cDSzq1k,272040,4
手紙 〜拝啓 十五の君へ〜,0.578,0.685,9,-5.163,1,0.0361,0.338,5.19e-06,0.133,0.41,125.809,audio_features,6kPt4Q5OHr7a1spurY2oxb,spotify:track:6kPt4Q5OHr7a1spurY2oxb,https://api.spotify.com/v1/tracks/6kPt4Q5OHr7a1spurY2oxb,https://api.spotify.com/v1/audio-analysis/6kPt4Q5OHr7a1spurY2oxb,313800,4
Sing for you,0.438,0.679,8,-4.973,1,0.0358,0.449,0,0.305,0.362,78.001,audio_features,2PqBcR6DGXaokGdOKz6j7y,spotify:track:2PqBcR6DGXaokGdOKz6j7y,https://api.spotify.com/v1/tracks/2PqBcR6DGXaokGdOKz6j7y,https://api.spotify.com/v1/audio-analysis/2PqBcR6DGXaokGdOKz6j7y,332413,4
First Love,0.496,0.568,7,-4.071,1,0.0258,0.413,0,0.193,0.251,90.004,audio_features,6tiO6YYCe7WFW8YWCbeGr1,spotify:track:6tiO6YYCe7WFW8YWCbeGr1,https://api.spotify.com/v1/tracks/6tiO6YYCe7WFW8YWCbeGr1,https://api.spotify.com/v1/audio-analysis/6tiO6YYCe7WFW8YWCbeGr1,262360,4
